tweetOG,tweetBR,class
"House Speaker Nancy Pelosi delete a February 24, 2020, video of herself from Twitter in which she encouraged people to visit Chinatown in San Francisco.","House Speaker Nancy Pelosi Excluir um 24 de fevereiro de 2020, vídeo de si mesmo do Twitter em que ela encorajou as pessoas a visitar Chinatown em São Francisco.",0
The Food and Drug Administration (FDA) authorized BodysphereÕs two-minute COVID-19 testing kit.,A Food and Drug Administration (FDA) Autorizado BodisSphereõs Kit de Testes Covid-19 Covid-19.,0
"Posts shared more than 2,000 times on social media appear to show a 2009 tweet from Donald Trump criticizing then-president Barack ObamaÕs handling of the H1N1 pandemic and placing ÒALL responsibilityÓ on presidents in a crisis.","Posts compartilhados com mais de 2.000 vezes em mídias sociais parecem mostrar um Tweet de Donald Trump de Donald Trump, criticando então - o presidente Barack Obamaõ como manuseio da pandemia H1N1 e colocação de @TAL responsabilidade em presidentes em uma crise.",0
AmazonÕs Alexa says the government released the coronavirus.,A Amazonõ Alexa diz que o governo liberou o coronavírus.,0
"In the United States, there are Ò360,000 (deaths) a year from swimming pools. But we donÕt shut the country down for that.Ó","Nos Estados Unidos, há ò360.000 (mortes) um ano de piscinas. Mas nós não fechamos o país para isso.",0
Hospitals compensated 15% more for COVID-19 patients under the stimulus package and New York City hospitals are inflating their coronavirus numbers.,Hospitais compensaram 15% a mais para os pacientes Covid-19 sob o pacote de estímulo e os hospitais de Nova York estão inflando seus números de coronavírus.,0
A video argues that the pandemic could have resulted from the accidental or intentional release of either a natural virus under study or an artificial virus that was bioengineered (manmade).,Um vídeo argumenta que a pandemia poderia ter resultado da liberação acidental ou intencional de um vírus natural em estudo ou um vírus artificial que foi bioengenheered (manmada).,0
Says Democrats are on vacation until May 4 and Òrefuse to come backÓ to sign a bill to help small businesses.,Diz que os democratas estão de férias até 4 de maio e òreus para vir de volta - para assinar uma conta para ajudar pequenas empresas.,0
"ÒThis is COVID-19, not COVID-1, folks. And so you would think the people charged with the World Health Organization facts and figures would be on top of that.Ó","Últimos é Covid-19, não Covid-1, pessoal. E então você acha que as pessoas acusadas dos fatos e números da Organização Mundial da Saúde estariam em cima disso.",0
Thieves are handing out chemically doused face masks to knock people out before robbing them.,Os ladrões estão distribuindo máscaras faciais quimicamente enlouquecidas para derrubar as pessoas antes de roubá-las.,0
Economic stimulus payments to U.S. citizens will either reduce future tax refunds or will have to be paid back.,Os pagamentos de estímulo econômico aos cidadãos da U.S. reduzirão os reembolsos futuros de impostos ou terão que ser pagos de volta.,0
"Valley County, Montana, mandated pink arm bands for residents who had submitted to quarantine protocol.","Condado de Valley, Montana, mandatated rosa bandas de braço para residentes que haviam submetido ao protocolo de quarentena.",0
"Gov. Andrew Cuomo Òwas simply saying if we can share 20 percent of your excess, your non-used ventilators, to help people in other parts of the state on a voluntary basis, that would be great. Of course, there was a reaction to that, which was not positive.Ó","Gov. Andrew Cuomo òwas simplesmente dizendo se pudermos compartilhar 20% do seu excesso, seus ventiladores não utilizados, para ajudar as pessoas em outras partes do estado de forma voluntária, isso seria ótimo. Claro, houve uma reação a isso, o que não foi positivo.",0
TrumpÕs claims about how quickly WHO acted to announce human-to-human transmission,Trumpões afirma sobre a rapidez com que agiram para anunciar a transmissão humana a humana,0
Video shows an orangutan who started washing its hands after watching the zookeepers do so during the coronavirus pandemic.,O vídeo mostra um orangotango que começou a lavar as mãos depois de assistir aos zookeis o fazer durante a pandemia do coronavírus.,0
"The news media has tried to pass off one manÕs death, attributed to complications from COVID-19, as two separate cases.","A mídia de notícias tentou desistir de uma morte de um homem, atribuída a complicações da Covid-19, como dois casos separados.",0
ÒMichigan Governor Gretchen Whitmer bans buying US flags during lockdown.Ó,ÒMichigan governador gretchen whitmer proibições comprando bandeiras nos lockdown.ó,0
"ÒThe president looks like he was ahead of the curve Ð as you know, he talks about this all the time Ð on shutting down travel from China.Ó","Ò O presidente parece que ele estava à frente da curva ð Como você sabe, ele fala sobre isso o tempo todo ð ao desligar a viagem da China.",0
Joe DiffieÕs death was labeled Òas a COVID-19 death and it wasnÕt!Ó,A morte de Joe Diffieõ foi rotulada òas uma morte Covid-19 e não era!,0
Trump says that as president he has ÒtotalÓ authority to re-open states amid the COVID-19 pandemic.,"Trump diz que, como presidente, ele tem autoridade para reaperar os estados reaperados em meio à pandemia da Covid-19.",0
"Average American has less than two-tenths of one percent chance of getting coronavirus, and thus public health officials overreacted to the pandemic.","A média americana tem menos de dois décimos de uma por cento de chance de obter coronavírus e, portanto, os funcionários da saúde pública exageraram para a pandemia.",0
"Trump claims Òit is the decision of the President,Ó not governors, to Òopen up the states.Ó","Trump afirma ò é a decisão do presidente, não governadores, para òs até os estados.",0
"The US $1,200 coronavirus relief checks this year are Òjust an advance on your next tax return. É Next year, youÕre automatically going to owe $1,200 come tax season.Ó","As verificações de alívio de coronavírus de US $ 1.200 este ano são ante um avanço em sua próxima declaração de imposto. É no próximo ano, você está automaticamente indo para Owe $ 1.200 chegando temporada de imposto.",0
Says American NIAID director Dr. Anthony Fauci Òstands to lose 100 million dollars on Bill Gates ÔvaccineÕ for the coronavirus. Because he invested in this vaccine.Ó,Diz American Niaid Director Dr. Anthony Fauci S para perder 100 milhões de dólares em Bill Gates ÔVACCINEON para o coronavírus. Porque ele investiu nesta vacina.,0
Numbers in a photo about death tolls from COVID-19 show that the pandemic is a con.,Números em uma foto sobre pedágios de morte de Covid-19 mostram que a pandemia é um con.,0
Michigan Gov. Gretchen Whitmer banned sale of American flags during COVID-19 pandemic.,Michigan Gov. Gretchen Whitmer banido venda de bandeiras americanas durante a pandemia de Covid-19.,0
A photo shared thousands of times on Facebook claims to show the throat of a novel coronavirus patient.,Uma foto compartilhada milhares de vezes no Facebook afirma mostrar a garganta de um romance paciente de coronavírus.,0
COVID-19 stimulus checks are an advance on 2020 tax refunds.,CVID-19 Verificações de estímulo são um adiantamento em restituições de impostos 2020.,0
Dr. Anthony Fauci Òwas telling people on February 29th that there was nothing to worry about and it posed no threat to the US public at large.Ó,Dr. Anthony Fauci òwas dizendo às pessoas em 29 de fevereiro de que não havia nada para se preocupar e não colocou nenhuma ameaça ao público dos EUA em grande.,0
Calling 1-800-382-5277 or 1-800-746-6373 gives Americans information on their coronavirus stimulus checks.,Chamando 1-800-382-5277 ou 1-800-746-6373 dá informações aos americanos em suas verificações de estímulo de coronavírus.,0
Says Michigan COVID-19 order bans gardening and the sale of vegetable seeds and fruit.,Diz Michigan Covid-19 Order Guarda-se e a venda de sementes de vegetais e frutas.,0
Mosques allowed to stay open in the US during the coronavirus epidemic while churches are forced to close.,"Mesquitas permitidas ficar abertas nos EUA durante a epidemia de coronavírus, enquanto as igrejas são forçadas a fechar.",0
15 major global pandemics all originated in China.,15 grandes pandemias globais se originaram na China.,0
President Donald Trump referred to the coronavirus as a ÒhoaxÓ or Òpolitical conspiracy.Ó,O presidente Donald Trump se referiu ao coronavírus como uma conspiração.,0
Pentagon confirms coronavirus accidentally got into chemtrail supply train.,Pentágono confirma coronavírus acidentalmente entrou no trem de fornecimento de Chemtrail.,0
ChinaÕs Communist government created the novel coronavirus in a laboratory and released it into the world as a deadly bioweapon.,O governo comunista da China criou o romance coronavírus em um laboratório e lançou-o no mundo como biowawon mortal.,0
Viral publication says a video shows a Ògay party in Italy few weeks before COVID-19.Ó,A publicação viral diz que um vídeo mostra uma festa de festa na Itália algumas semanas antes de Covid-19.ó,0
"ÒPer order from @GovWhitmer, people in Michigan are now banned from purchasing a new baby car seat in stores.Ó","\ Order de @govwhitmer, as pessoas em Michigan agora são banidas de comprar um novo assento de carro de bebê nas lojas.ó",0
ÒMass vaccination for COVID-19 in Senegal was started yesterday (4/8) and the first 7 CHILDREN who received it DIED on the spot.Ó,Òmass vacinação para Covid-19 no Senegal foi iniciado ontem (4/8) e os primeiros 7 filhos que o receberam morreu no local.,0
Soap and hand sanitizer can be used to kill coronavirus in the body.,Sabonete e desinfetante de mão podem ser usados ​​para matar coronavírus no corpo.,0
"Viral video with Dr. Shiva Ayyadurai proves Fauci, White House and others are members of deep state.","Vídeo viral com o Dr. Shiva Ayyadurai prova Fauci, Casa Branca e outros são membros do estado profundo.",0
Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,Imunidade de rebanho é provavelmente por que a Califórnia tem menos mortes de Covid-19 do que Nova York.,0
"ÒChurch services canÕt resume until weÕre all vaccinated, says Bill Gates.Ó","Os serviços de òChurch podem retomar até que todos foram vacinados, diz Bill Gates.ó",0
COVID-19 mass vaccine in Senegal that began in West Africa killed the first seven children who received it.,Covid-19 vacina em massa no Senegal que começou na África Ocidental matou as primeiras sete filhos que o receberam.,0
CDC admitted to lying about COVID-19 death stats.,O CDC admitiu a mentir sobre as estatísticas da morte de Covid-19.,0
Top German virologist JŸrgen Rissland recommended drinking whiskey to combat COVID-19.,Top Alemão Virologist jÿrgen Rissland recomendou o uísque bebendo para combater a Covid-19.,0
Bill Gates is plotting to use COVID-19 testing and a future vaccine to track people with microchips.,Bill Gates está plotando para usar o teste Covid-19 e uma vacina futura para rastrear pessoas com microchips.,0
"COVID-19 causes prolonged and progressive hypoxia (starving your body of oxygen) by binding to the heme groups in hemoglobin in your red blood cells. People are simply desaturating (losing O2 in their blood), and thatÕs what eventually leads to organ failures that kill them, not any form of ARDS or pneumonia.","Covid-19 provoca hipóxia prolongada e progressiva (fome seu corpo de oxigênio), ligando aos grupos heme em hemoglobina em seus glóbulos vermelhos. As pessoas simplesmente estão desaturando (perdendo O2 em seu sangue), e que eventualmente leva a falhas de órgãos que os matam, não qualquer forma de Ards ou pneumonia.",0
COVID-19 vaccine trial killed 7 children in Senegal.,Covid-19 Ensaio de vacina matou 7 crianças no Senegal.,0
U.S. Speaker of the House Nancy Pelosi said she wonÕt pass new economic stimulus package unless senior citizens are excluded.,"O alto-falante das U.S. da casa Nancy Pelosi disse que Wonõt passa novo pacote de estímulo econômico, a menos que os idosos sejam excluídos.",0
"Social media posts recommend tonic water and zinc as a cure for a novel coronavirus infection, as the drink contains quinine, whose synthetic relative hydroxychloroquine is on trial as a COVID-19 treatment.","Os postos de mídia social recomendam água tônica e zinco como uma cura para uma nova infecção de coronavírus, já que a bebida contém quinina, cuja hidroxicloroquina relativa sintética está em julgamento como um tratamento Covid-19.",0
US arrests the man who created Covid-19.,EUA prendem o homem que criou a Covid-19.,0
"India is suing Microsoft founder Bill Gates because of his vaccine against coronavirus that killed 77,000 girls.",A Índia está processando a Microsoft Founder Bill Gates por causa de sua vacina contra o coronavírus que matou 77 mil meninas.,0
Coronavirus will be exterminated if lockdowns are lifted.,O coronavírus será exterminado se os bloqueios forem levantados.,0
The number of deaths from COVID-19 are exaggerated.,O número de mortes da Covid-19 é exagerado.,0
Michigan governor violated social distancing order while signing stay-at-home order.,O governador de Michigan violou a ordem de distanciamento social ao assinar a ordem da estadia em casa.,0
Posts claim that the speaker of the Winsconsin state assembly Robin Vos wore protective gear that Òelection workers he forced to work É do not have.Ó,"Posts afirmam que o alto-falante da assembléia do estado de Winsconsin Robin Vos usava equipamento de proteção que os trabalhadores de seleção que ele forçou a trabalhar, não tem.",0
5G exposure/radiation pollution compromises the structure and function of hemoglobin in cells and worsens COVID-19 pandemic.,A poluição da exposição / radiação de 5G compromete a estrutura e a função da hemoglobina nas células e piora a pandemia da Covid-19.,0
"A video has been viewed tens of thousands of times on Twitter, Facebook and YouTube alongside a claim that it shows the US Federal Bureau of Investigation (FBI) raiding a synagogue that was used to hoard face masks and other medical equipment.","Um vídeo foi visto dezenas de milhares de vezes no Twitter, no Facebook e no YouTube ao lado de uma alegação que mostra o Bureau Federal de Investigação dos EUA (FBI) invadindo uma sinagoga que foi usada para acumular máscaras faciais e outros equipamentos médicos.",0
Steam from boiling oranges kills COVID-19.,Vapor de laranjas ferventes mata Covid-19.,0
ÒEveryone is only dying of coronavirus now.Ó,Òevere é apenas morrer de coronavírus agora.,0
"Facebook posts claims the Asian, Hong Kong, swine and bird flus each Òkilled more people than coronavirus.Ó","Postagens do Facebook afirma o asiático, Hong Kong, Swine e Flus de Aves Cada mais pessoas do que Coronavirus.ó",0
Queen Elizabeth said Philippine President Rodrigo Duterte Òis the kind of leader who knows the way É Filipinos are very lucky to have him.Ó,"Rainha Elizabeth disse que o presidente filipino Rodrigo Duterte òs o tipo de líder que sabe o caminho, os filipinos têm muita sorte de tê-lo.",0
A photo shows South Carolina after stay-at-home orders were announced.,Uma foto mostra a Carolina do Sul após os pedidos de estadia em casa foram anunciados.,0
The Obama administration left President Donald Trump with a Òstockpile with a cupboard that was bare.Ó,A administração de Obama deixou o presidente Donald Trump com um òstockpile com um armário que estava nua.,0
ÒSame little boy died of COVID-19 in three different countries. Still donÕt believe the media is #fakenews?Ó,O menino pequeno morreu de Covid-19 em três países diferentes. Ainda não acredita que a mídia é #fakenevs?,0
ÒThe North Carolina and Virginia State line is closed. Nothing in or out.Ó,Ò A Carolina do Norte e a Linha do Estado da Virgínia estão fechadas. Nada dentro ou fora.,0
A poem about people staying home was written by Kathleen OÕMara in 1869.,Um poema sobre pessoas que ficam em casa foi escrito por Kathleen Oõmara em 1869.,0
Ò59 people die as pastor gives them Dettol to drink in church to prevent coronavirus.Ó,Ò59 pessoas morrem como pastor lhes dá a Dettol para beber na igreja para evitar coronavírus.,0
"Asian flu, Hong Kong flu, swine flu and bird flu killed more people than coronavirus has today. And that the government never shut down anything for those.","Gripe asiática, gripe de Hong Kong, gripe suína e gripe aviária matou mais pessoas do que o coronavírus tem hoje. E que o governo nunca desligou nada para aqueles.",0
"Claim that televangelist Pat Robertson said some young people Òare doing all kinds of unnatural things with their sex organs. When people do that, they transfer all kinds of chemicals from ladiesÕ private parts and thatÕs where I think the (corona)virus came from.Ó","Reivindique que a Televangelist Pat Robertson disse que alguns jovens experimentam todos os tipos de coisas não naturais com seus órgãos sexuais. Quando as pessoas fazem isso, eles transferem todos os tipos de produtos químicos de peças privadas de Ladiesõ e que eu acho que o vírus (corona) veio.",0
People are handing out masks Òdoused with chemicals which knocks you out coldÓ so they can rob you.,"As pessoas estão distribuindo máscaras adora com produtos químicos que te derrubam, para que eles possam roubar você.",0
"Former NYC Mayor Rudolph Giuliani said he Òbought $2M in shares of Novartis, a primary supplier of hydroxychloroquineÓ in early February.","O ex-prefeito de NYC Rudolph Giuliani disse que ele adora US $ 2 milhões em ações da Novartis, um fornecedor primário de hidroxicloroquina no início de fevereiro.",0
Coronavirus is fake or a made-up ploy by 5G.,O coronavírus é falso ou uma ploy compensada por 5G.,0
Photo of a mannequin being wheeled into a hospital shows the COVID-19 coverup.,Foto de um manequim sendo rodado em um hospital mostra o coverup covid-19.,0
Hospital is caught using a dummy in pandemic footage.,O hospital é pego usando um manequim em filmagens de pandemia.,0
"ÒIn Italy, they have thrown their money on the streets. A clear message to the whole world that money is not enough when health is in danger.Ó","Òin Itália, eles jogaram seu dinheiro nas ruas. Uma mensagem clara para todo o mundo que o dinheiro não é suficiente quando a saúde está em perigo.",0
Coronavirus death toll in the U.S. is inflated by inclusion of unrelated deaths.,O pedágio de morte de coronavírus no U.S. é inflado pela inclusão de mortes não relacionadas.,0
President Trump has repeatedly touted the anti-malarial medications hydroxychloroquine and chloroquine as the much-needed solution to covid-19,O Presidente Trump represou repetidamente a hidroxicloroquina de medicamentos anticomarciais e cloroquina como a solução muito necessária para a Covid-19,0
"Social media posts shared tens of thousands of times claim White House adviser Dr. Anthony Fauci stands alone in insisting hydroxychloroquineÕs effectiveness against COVID-19 is unproven, while Italy, France, Spain and Brazil say it Òworks.Ó","Social Media Posts Compartilhados Dezenas de Milhares de Tempos Reivindicam White House Conselheiro Dr. Anthony Fauci é sozinho na insistindo Hydroxychloroquina, a eficácia contra a Covid-19 é não comprovada, enquanto a Itália, a França, a Espanha e o Brasil dizem que ò twitchs.ó",0
Says 44 US senators Òvoted NOT to send stimulus checks.Ó,Diz 44 senadores dos EUA òvoted para não enviar cheques de estímulo.,0
The NBA is asking President Donald Trump to Òresign or weÕll never play again.Ó,A NBA está pedindo ao presidente Donald Trump ao òResign ou weõl nunca jogar novamente.,0
President Donald TrumpÕs statement that lupus patients are not vulnerable to COVID-19 is not true.,O presidente Donald Trumpõ declaração de que os pacientes do lúpus não são vulneráveis ​​à Covid-19 não é verdade.,0
New data shows that 21 million Chinese died from the coronavirus.,Novos dados mostra que 21 milhões de chineses morreram do coronavírus.,0
Suggestion that Trump urged sick people to get out and vote during COVID-19 pandemic.,Sugestão de que Trump pediu às pessoas doentes a sair e votar durante a pandemia da Covid-19.,0
"Ron Johnson said Americans should go back to work, because Òdeath is an unavoidable part of life.Ó","Ron Johnson disse que os americanos devem voltar ao trabalho, porque òtheath é uma parte inevitável da vida.",0
North Carolina Òhospital beds are typically 85% full across the state.Ó,Carolina do Norte òhubital beds são tipicamente 85% em todo o estado.,0
"ÒWeÕve got to give the American public a rough estimate of how long we think this is going to take, based mostly on the South Korean model, which seems to be the trajectory that we are on, thankfully, and not the Italian model.Ó","Òs tem que dar ao público americano uma estimativa aproximada de quanto tempo achamos que isso vai tomar, baseado principalmente no modelo sul-coreano, que parece ser a trajetória que estamos, felizmente, e não o modelo italiano.",0
Says the U.S. is developing an ÒantivirusÓ that includes a chip to track your movement.,Diz que o U.S. está desenvolvendo um òAvirusó que inclui um chip para rastrear seu movimento.,0
"Big Pharma, Dr. Anthony Fauci and Bill Gates want to ban hydroxychoroquine.","Big Pharma, Dr. Anthony Fauci e Bill Gates querem proibir a hidroxioroquina.",0
ÒThe Chinese Communist Party is using Zoom as a way to spy on our citizens.Ó,Ò O partido comunista chinês está usando zoom como uma maneira de espionar nossos cidadãos.,0
Photo on biography of a boy who died from coronavirus.,Foto na biografia de um menino que morreu de coronavírus.,0
ÒJoe Exotic tests positive for coronavirus in prison. ItÕs been confirmed.Ó,‖ Testes exóticos positivos para coronavírus na prisão. Foi confirmado.ó.,0
Walmart has adopted staggered shopping days based on age in response to the pandemic.,O Walmart adotou os dias de compras escalonadas com base na idade em resposta à pandemia.,0
"ÒWe were slow with the testing, but very quick with the travel ban. And thatÕs been much more critical in saving lives.Ó","Nós-nos lentos com o teste, mas muito rápido com a proibição de viagem. E isso foi muito mais crítico em salvar vidas.",0
Walmart is adopting a staggered schedule due to the coronavirus.,O Walmart está adotando uma programação escalonada devido ao coronavírus.,0
Says Nostradamus predicted the coronavirus in a 1551 passage about a plague spreading from the east.,Diz que Nostradamus previu o coronavírus em uma passagem de 1551 sobre uma praga se espalhando do leste.,0
Israeli recipe for lemon and bicarbonate drink is a coronavirus cure.,Receita israelense para bebida de limão e bicarbonato é uma cura de coronavírus.,0
Video claiming you canÕt catch coronavirus.,Vídeo reivindicando você pode pegar coronavírus.,0
"Kennedy Center, PBS donated to Democrats after getting COVID-19 stimulus money.","Kennedy Center, PBS doaram aos democratas depois de obter dinheiro de estímulo Covid-19.",0
In New York Òevery contaminated corpse belongs to the stateÓ and will be incinerated without any Òwakes or memorial services to pay your last respects.Ó,Em Nova York - o cadáver contaminado pertence ao estado - e será incinerado sem quaisquer serviços de âncos ou memoriais para pagar seus últimos aspectos.,0
Says Goodwill used the pandemic Òto fire all of their employees instead of laying them off.Ó,Diz que o goodwill usou a pandemia ò ò ò ò Todo de seus funcionários em vez de colocá-los.,0
Goodwill laid off all employees due to COVID-19.,Goodwill demitido todos os funcionários devido a Covid-19.,0
Says video shows Òthe Chinese are destroying the 5G poles as they are aware that it is the thing triggering the corona symptoms.Ó,Diz que vídeos mostra os chineses estão destruindo os pólos 5g como eles estão cientes de que é a coisa desencadeando os sintomas da corona.,0
TrumpÕs claim that he imposed the first travel ban on China.,Trumpões afirmam que ele impôs a primeira proibição de viagem na China.,0
Audio of Biden calling the coronavirus a hoax.,Áudio de Biden chamando o coronavírus uma farsa.,0
"ÓIf you line up all the countries that have done (Covid-19) testing on a per-capita basis, weÕre [the US] at the bottom of the list.Ó","Ó se você fortalecer todos os países que fizeram (Covid-19) testando em uma base por capita, nós [os EUA] na parte inferior da lista.",0
ÒRivers in Oklahoma are full of catfish carrying the virus.Ó,Òrivers em Oklahoma estão cheios de bagres carregando o vírus.,0
Governors across the U.S. are announcing that the current school year will be repeated due to coronavirus school closings.,Governadores do outro lado do U.S. estão anunciando que o atual ano letivo será repetido devido a fechamentos escolares de coronavírus.,0
A video purportedly showing COVID-19 victims in body bags strewn across the floor of a New York hospital was shared several thousand times in multiple languages on social media.,Um vídeo supostamente mostrando vítimas de Covid-19 em sacos de corpo espalhados pelo chão de um hospital de Nova York foi compartilhado vários milhares de tempos em vários idiomas em mídias sociais.,0
"Facebook posts shared thousands of times feature a video of U.S. officials talking to reporters, with captions claiming they are announcing the arrest of a Chinese scientist.","Os posts no Facebook compartilhados milhares de vezes apresentam um vídeo dos funcionários da U.S. Falando com repórteres, com legendas, alegando que estão anunciando a prisão de um cientista chinês.",0
Coronavirus does not cause a runny nose; is killed by temperatures above 26 degrees; causes lung fibrosis within days of infection; can be diagnosed by holding your breath for 10 seconds; and can be cured in the early stages by drinking plenty of water.,O coronavírus não causa um nariz escorrendo; é morto por temperaturas acima de 26 graus; causa fibrose pulmonar dentro de dias de infecção; pode ser diagnosticado segurando sua respiração por 10 segundos; e pode ser curado nos estágios iniciais bebendo muita água.,0
The coronavirus has been ÒreleasedÓ by China [É] it was purposely propagated by the Chinese themselves.,O coronavírus tem sido òrelestinado por China [é] propositadamente propagado pelos próprios chineses.,0
Alkaline diet protects against the coronavirus.,A dieta alcalina protege contra o coronavírus.,0
A series of statements by Joe Biden claiming he called for action before he did,Uma série de declarações de Joe Biden alegando que ele pediu ação antes de ele,0
Empty hospital lots and waiting rooms are indicative of a coronavirus hoax.,Lotes do hospital vazio e salas de espera são indicativos de uma farsa de coronavírus.,0
"ÒNow, theyÕre doing tests on airlines Ñ very strong tests Ñ for getting on, getting off. TheyÕre doing tests on trains Ñ getting on, getting off.Ó","Ònownow, eles estão fazendo testes nas companhias aéreas - testes muito fortes ñ para entrar, saindo. Eles estão fazendo testes em trens - ficando, saindo.",0
Missouri students will have to repeat the school year because of COVID-19 school closings.,Os alunos do Missouri terão que repetir o ano letivo por causa dos fechamentos da escola Covid-19.,0
NYT invented the video of a doctor fighting coronavirus in hospital.,NYT inventou o vídeo de um médico lutando coronavírus no hospital.,0
Thousands of Facebook users in the United States are sharing 1-800 numbers that are supposed to help track stimulus payments promised by the federal government under a novel coronavirus economic aid package.,Milhares de usuários do Facebook nos Estados Unidos estão compartilhando 1-800 números que devem ajudar a rastrear os pagamentos de estímulo prometidos pelo governo federal sob um novo pacote de ajuda econômica de coronavírus.,0
"The army is patrolling all the streets, towns and villages in Ireland.","O exército está patrulhando todas as ruas, cidades e aldeias na Irlanda.",0
Says thereÕs an 800 number you can call to track the status of your stimulus check.,Diz assim um número de 800 que você pode ligar para rastrear o status do seu cheque de estímulo.,0
"If you ask AmazonÕs Alexa about the origin of the coronavirus pandemic, it says Òthe government plannedÓ it.","Se você fizer a Amazonões Alexa sobre a origem da pandemia de coronavírus, diz o governo planejado.",0
"Social media posts shared thousands of times advocate 10 methods to prevent a novel coronavirus infection, citing recommendations allegedly stemming from autopsies on COVID-19 victims, including in China, where the virus first emerged.","Posts de mídia social compartilhou milhares de vezes advogam 10 métodos para evitar uma nova infecção por coronavírus, citando recomendações supostamente decorrentes de autópsias nas vítimas da Covid-19, incluindo na China, emergiu pela primeira vez.",0
"Posts on social media claim there is a US patent for the novel coronavirus and a European patent for a vaccine, citing specific patent numbers.","Postos sobre reivindicação de mídia social Há uma patente dos EUA para o romance coronavírus e uma patente européia para uma vacina, citando números de patentes específicos.",0
Video tries to show coronavirus is fake and not dangerous.,Vídeo tenta mostrar coronavírus é falso e não perigoso.,0
Students in America have to repeat the same grade next year.,Os alunos da América têm que repetir o mesmo ano no próximo ano.,0
Lemon juice and bicarbonate mixture prevents and cures COVID-19 in Israel.,Suco de limão e mistura de bicarbonato previne e cura Covid-19 em Israel.,0
Coronavirus is caused by 5G.,O coronavírus é causado por 5g.,0
Says certain states are banning the sale of alcohol.,Diz que certos estados estão proibindo a venda de álcool.,0
ÒWe inherited a broken testÓ for COVID-19.,Eu herdamos um teste quebrado para Covid-19.,0
World Economic Forum is a Òfascist cabalÓ manipulating coronavirus.,"O Fórum Econômico Mundial é um coronavírus manipulador de cabaló "".",0
